id	actor	object	boundary	metric_basis	temporal_structure	intervention_logic	normative_threshold	evidence_basis	accountability_relation	sustainability_purpose	primary_relation	secondary_relations	modeling_consequence	recoding_note
C1a	Company	Operations	Operational boundary	CO2e inventory with compensation	2030 target	Reduction plus compensation	Carbon-neutrality claim criteria	Claim substantiation, inventory, and assurance evidence	Carbon-neutrality standard / assurance	Climate mitigation	Equivalence with provenance	None	merge with provenance	Operational carbon-neutrality claim gives an operations object, target year, compensation logic, and ISO claim evidence.
C1b	Producer	Product	Product boundary / life-cycle frame	Carbon footprint or CO2e accounting	Product life-cycle	Reduction plus compensation	Carbon-neutrality claim criteria	Claim substantiation, inventory, and assurance evidence	Product documentation / consumer information	Climate mitigation	Boundary shift	Object shift; temporal structure shift	split or qualify	Product carbon neutrality changes the bound object from operations to product life-cycle.
C1c	Company	Direct and purchased-energy emissions	Scope 1 and 2	CO2e under GHG accounting	Reporting or operating period	Reduction plus market instruments or compensation	Carbon-neutrality claim criteria	GHG inventory and accounting evidence	Disclosure / inventory provenance	Climate mitigation	Boundary shift	Evidence basis shift; metric basis shift	qualify	Scope 1 and 2 narrows the operational claim to a GHG Protocol scope boundary.
C1d	Company or site operator	Facility	Site boundary	Carbon or CO2e accounting	Reporting or operating period	Reduction plus compensation	Carbon-neutrality claim criteria	Claim substantiation, inventory, and assurance evidence	Operational evidence	Climate mitigation	Boundary shift	Actor shift; object shift	split or qualify	Site-level facility neutrality binds a facility boundary rather than general operations.
C1e	Company	Operations	Unspecified or partial scope	CO2e inventory with compensation	Unspecified	Reduction plus possible compensation	Carbon-neutrality claim criteria	Unspecified	Internal planning note	Climate mitigation	Underspecification	Boundary shift possible; evidence basis missing	complete	Claim omits stated scope and evidence, so preservation of the operational boundary cannot be judged.
C2a	Company	Value-chain emissions	Scope 1, 2, and relevant scope 3	CO2e target metric	2050 target with pathway	Deep reductions and residual neutralization	Net-zero or science-based target criteria	Target documentation and validation evidence	Target validation	Climate mitigation	Equivalence with provenance	None	merge with provenance	SBTi net zero preserves value-chain scope, long-term pathway, and validation evidence.
C2b	Company	Corporate target	Scope coverage governed by criteria	CO2e pathway metrics	Near-term milestones	Pathway-aligned reductions	Net-zero or science-based target criteria	Target documentation and validation evidence	Target validation	Climate mitigation	Refinement	Temporal structure shift	qualify	Near-term science-based target is a milestone-based target under SBTi criteria.
C2c	Reporting organization	Value-chain emissions	Scope 3 categories	CO2e inventory metrics	Reporting period	Accounting, not target action	Unspecified	GHG inventory and accounting evidence	Disclosure / inventory provenance	Climate mitigation	Trace-only relation	Intervention substitution; normative threshold missing	trace	Inventory accounting shares emissions context but is not a net-zero target commitment.
C2d	Company	Residual emissions	Net-zero target boundary	CO2e residual-emissions metric	Target year / residual period	Neutralization after deep reductions	Net-zero or science-based target criteria	Target documentation and validation evidence	Target validation / reporting	Climate mitigation	Refinement	Object refinement; intervention logic refinement	qualify	Residual-emissions neutralization specifies the residual treatment within a net-zero target.
C2e	Company	Corporate target	Unspecified or partial scope	CO2e target metric	2050 target without baseline	Planned reductions	Net-zero or science-based target criteria	Unspecified	Internal commitment	Climate mitigation	Underspecification	Boundary missing; evidence basis missing; temporal baseline missing	complete	Missing baseline and scope prevent judging alignment with SBTi net-zero coverage.
C3a	Company	Corporate target	Net-zero target boundary	CO2e pathway metrics	2050 target with pathway	Deep reductions and residual neutralization	Net-zero or science-based target criteria	Target documentation and validation evidence	External validation	Climate mitigation	Equivalence with provenance	None	merge with provenance	Science-based net-zero target carries SBTi pathway, boundary, and validation semantics.
C3b	Company / sector	Target pathway	Sector-specific boundary	Sectoral pathway metrics	Target year	Pathway-aligned reductions	Net-zero or science-based target criteria	Target documentation and validation evidence	Target validation	Climate mitigation	Refinement	Boundary refinement; metric refinement	qualify	Sectoral pathway specializes the target pathway and metric basis.
C3c	Company	Same corporate target	Same target boundary	Same metric basis	Same target period	Updated evidence, same intervention logic	Net-zero or science-based target criteria	Target documentation and validation evidence	Updated validation evidence	Climate mitigation	Accountability qualification	Evidence basis refinement	merge with provenance	Updated evidence qualifies validation provenance while preserving the same target content.
C3d	Company	Corporate target	Scope coverage governed by criteria	CO2e pathway metrics	Target year	Planned reductions	Net-zero or science-based target criteria	Target documentation and validation evidence	Internal commitment	Climate mitigation	Accountability qualification	Validation evidence missing	qualify	Target ambition lacks external validation, changing accountability rather than the target content alone.
C3e	Company	Corporate target	Scope coverage governed by criteria	CO2e pathway metrics	Updated target period	Updated reduction pathway	Net-zero or science-based target criteria	Target documentation and validation evidence	Target validation	Climate mitigation	Replacement	Temporal structure shift; evidence basis updated	revise	Prior target is superseded by an approved updated target.
C4a	Economic actor	Economic activity	Activity boundary	Taxonomy technical screening criteria	Reporting / eligibility period	Substantial contribution	Taxonomy substantial-contribution, DNSH, and safeguard criteria	Activity criteria, DNSH, safeguards, and disclosure evidence	Regulatory reporting / criteria	Sustainable finance and environmental objective alignment	Equivalence with provenance	None	merge with provenance	Taxonomy-aligned activity requires activity-level criteria, DNSH, safeguards, and reporting evidence.
C4b	Economic actor	Economic activity	Activity boundary	Environmental objective and DNSH criteria	Reporting / eligibility period	Compliance with criteria	Taxonomy substantial-contribution, DNSH, and safeguard criteria	Activity criteria, DNSH, safeguards, and disclosure evidence	Validation criteria	Sustainable finance and environmental objective alignment	Refinement	Evidence basis refinement	qualify	DNSH compliance is a criterion-level qualification within taxonomy alignment.
C4c	Fund / financial actor	Portfolio	Portfolio boundary	Mixed activity-level criteria	Reporting period	Allocation / classification	Taxonomy substantial-contribution, DNSH, and safeguard criteria	Source-framework evidence	Disclosure / investor communication	Sustainable finance and environmental objective alignment	Boundary shift	Actor shift; object shift	split or qualify	Portfolio-level sustainability changes the claim from activity alignment to financial-portfolio classification.
C4d	Economic actor	Economic activity	Activity eligibility boundary	Taxonomy eligibility criteria	Reporting / eligibility period	Eligibility screening	Unspecified	Source-framework evidence	Regulatory disclosure	Sustainable finance and environmental objective alignment	Trace-only relation	Normative threshold missing; intervention substitution	trace	Eligibility indicates taxonomy coverage but does not establish aligned substantial contribution or safeguards.
C4e	Economic actor	Economic activity	Activity boundary	Taxonomy criteria with failed safeguard	Reporting / eligibility period	Non-compliance with safeguards	Taxonomy substantial-contribution, DNSH, and safeguard criteria	Activity criteria, DNSH, safeguards, and disclosure evidence	Regulatory reporting / criteria	Sustainable finance and environmental objective alignment	Conflict	Failed DNSH safeguard	block	Failed do-no-significant-harm safeguards are incompatible with taxonomy-aligned activity.
C5a	Manufacturer	Product design	Product life-cycle / design boundary	Repairability, modularity, durability, or circular-design criteria	Product life-cycle	Design for repair, reuse, or recycling	Circularity strategy or product-design criterion	Circularity assessment or business-model evidence	Product stewardship / documentation	Circular economy	Equivalence with provenance	None	merge with provenance	Circular product design claim preserves product-design criteria and stewardship evidence.
C5b	Producer / retailer	Service and product system	Business-model boundary	Use intensity, lifetime extension, or material-loop metrics	Ongoing service period	Reuse, repair, leasing, or sharing	Circularity strategy or product-design criterion	Circularity assessment or business-model evidence	Business-model evidence	Circular economy	Intervention substitution	Object shift; boundary shift	translate	Product-service model substitutes a business-model intervention for a product-design claim.
C5c	Producer	Packaging system	Return and reuse loop boundary	Reuse cycles or return rate	Reporting or operating period	Reuse and reverse logistics	Circularity strategy or product-design criterion	Circularity assessment or business-model evidence	Product stewardship / documentation	Circular economy	Boundary shift	Object shift; metric basis shift	split or qualify	Reusable packaging binds a packaging return loop rather than general circular product design.
C5d	Manufacturer	Product	Design and after-sales boundary	Repairability score or service availability	Product life-cycle	Repair and maintenance	Circularity strategy or product-design criterion	Circularity assessment or business-model evidence	Product documentation / consumer information	Circular economy	Refinement	Metric refinement; accountability qualification	qualify	Repairability is a more specific circular-design property supported by product documentation.
C6a	Reporting organization	Disclosure item	Reporting boundary	Indicator definition and unit	Reporting period	Disclosure / measurement	Reporting-framework disclosure or indicator criterion	Reporting-framework provenance and indicator mapping evidence	Reporting standard	Sustainability reporting and disclosure	Equivalence with provenance	None	merge with provenance	Emissions disclosure indicator is a reporting-framework disclosure item with indicator provenance.
C6b	Reporting organization	Transition-plan disclosure	Reporting entity boundary	Disclosure requirement	Reporting period or target period	Disclosure of plan and assumptions	Reporting-framework disclosure or indicator criterion	Reporting-framework provenance and indicator mapping evidence	Disclosure / assurance	Sustainability reporting and disclosure	Refinement	Object refinement; temporal structure shift	qualify	ESRS transition-plan disclosure specializes climate reporting content and assumptions.
C6c	Reporting organization	Indicator correspondence	Reporting-framework boundary	Indicator mapping and units	Reporting period	Semantic reporting alignment	Reporting-framework disclosure or indicator criterion	Reporting-framework provenance and indicator mapping evidence	Reporting ontology / mapping evidence	Sustainability reporting and disclosure	Metric translation	Framework mapping	translate	GRI-to-ESRS mapping gives an explicit indicator correspondence and unit mapping.
C6d	Reporting organization	Taxonomy KPI / disclosure element	Activity and reporting boundary	Taxonomy KPI and reporting metric	Reporting period	Disclosure of eligibility or alignment	Reporting-framework disclosure or indicator criterion	Reporting-framework provenance and indicator mapping evidence	Regulatory disclosure	Sustainability reporting and disclosure	Refinement	Boundary refinement; metric refinement	qualify	Taxonomy KPI disclosure specializes sustainability reporting with taxonomy reporting metrics.
C6e	Reporting organization	Disclosure item	Reporting boundary	Unspecified	Reporting period	Disclosure	Unspecified	Unspecified	Reporting note	Sustainability reporting and disclosure	Underspecification	Metric basis missing; normative threshold missing; evidence basis missing	complete	Climate-neutral KPI label lacks a definition, threshold, and supporting evidence.
